"Hofname";"Adresse";"Baujahr von";"Baujahr bis";"Baujahr um";"Architekt";"Kunst am Bau";"Letzte Sanierung von";"Letzte Sanierung bis";"Wohnungen";"Lokale";"PDF-Download"
"Per-Albin-Hansson-Siedlung-Ost";"1100 Wien, Jura-Soyfer-Gasse Jura-Soyfer-Gasse";"1970";"1974";"";"Hermann Kutschera, Peter Payer, Oskar Payer";"ja";"";"";"4289";"25";"https://www.wwpipe.at/web-portal/complex-description/0010420"
"Rudolf-Hitzinger-Hof";"1210 Wien, Leopoldauer Straﬂe Leopoldauer Straﬂe";"1969";"1971";"";"Friedrich Lang, Ernst Plojhar";"nein";"";"";"284";"7";"https://www.wwpipe.at/web-portal/complex-description/0021345"
"Groﬂfeldsiedlung";"1210 Wien, St.-Michael-Gasse St.-Michael-Gasse";"1966";"1971";"";"Peter Payer, Heinrich Matha, Oskar Payer, Matthias Lukas Lang, Harry Gl¸ck, Johannes (Hannes) Lintl, Peter Czernin, Karl Leber";"ja";"";"";"5525";"41";"https://www.wwpipe.at/web-portal/complex-description/0021392"
"Georg-Emmerling-Hof";"1020 Wien, Obere Donaustraﬂe Obere Donaustraﬂe";"1953";"1957";"";"Rudolf Hofbauer, Elisabeth Hofbauer-Lachner, Leo Kammel jun.";"ja";"2019";"2022";"215";"33";"https://www.wwpipe.at/web-portal/complex-description/0302001"
"Eduard-Leisching-Hof";"1050 Wien, Johannagasse Johannagasse";"1954";"1955";"";"Rudolf M¸nch, Josef Baudys, Hans Paar";"ja";"";"";"283";"16";"https://www.wwpipe.at/web-portal/complex-description/0305006"
"Emmerich-Sailer-Hof";"1050 Wien, Kliebergasse Kliebergasse";"1968";"1970";"";"Rotraut Hommer";"ja";"";"";"50";"9";"https://www.wwpipe.at/web-portal/complex-description/0405323"
"Per-Albin-Hansson-Siedlung-Nord";"1100 Wien, Saligergasse Saligergasse";"1969";"1971";"";"Otto Nobis, Anny Beranek, Anton Siegl, Franz Wosatka, Johannes (Hannes) Lintl, Josef Wenz";"ja";"";"";"533";"29";"https://www.wwpipe.at/web-portal/complex-description/0410377"
"Salvador-Allende-Hof";"1110 Wien, Wilhelm-Kreﬂ-Platz Wilhelm-Kreﬂ-Platz";"1963";"1968";"";"Eduard Berger, Leopoldine Schwarzinger, Hans Paar, Rudolf Angelides, Matth‰us Jiszda II., Erwin Christoph, Franz Tontur, Wolfram Schindler, Alois Schrimpf, Franz Ullmann, Anny Beranek, Richard Horner, Fritz Gerhard Mayr, Otto Frank";"ja";"";"";"1154";"28";"https://www.wwpipe.at/web-portal/complex-description/0411380"
"Herbert-Bˆhm-Hof";"1110 Wien, Studenygasse Studenygasse";"1966";"1967";"";"Wiener Stadtbauamt, MA19";"ja";"";"";"258";"4";"https://www.wwpipe.at/web-portal/complex-description/0411381"
"Karl-Swoboda-Hof";"1110 Wien, Florian-Hedorfer-Straﬂe Florian-Hedorfer-Straﬂe";"1968";"1971";"";"Wiener Stadtbauamt, MA19, Edgar Gˆth";"ja";"";"";"589";"5";"https://www.wwpipe.at/web-portal/complex-description/0411382"
"Karl-Maisel-Hof";"1110 Wien, Koblicekgasse Koblicekgasse";"1969";"1971";"";"Wiener Stadtbauamt, MA19";"ja";"";"";"1069";"7";"https://www.wwpipe.at/web-portal/complex-description/0411383"
