NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE_STATA;SUB_DISTRICT_CODE_VIE;NAME_STATA;NAME_VIE
AT1;AT13;AT130;90100;9010101;90101;Altstadt-Ost;Altstadt-Ost
AT1;AT13;AT130;90100;9010102;90102;Stubenviertel;Stubenviertel
AT1;AT13;AT130;90100;9010103;90103;Opernviertel;Opernviertel
AT1;AT13;AT130;90100;9010104;90104;Regierungsviertel;Regierungsviertel
AT1;AT13;AT130;90100;9010105;90105;Börseviertel;Börseviertel
AT1;AT13;AT130;90100;9010106;90106;Altstadt-West;Altstadt-West
AT1;AT13;AT130;90100;9010107;90107;Altstadt-Mitte;Altstadt-Mitte
AT1;AT13;AT130;90200;9020101;90201;Nordbahnhof;Nordbahnhof
AT1;AT13;AT130;90200;9020102;90202;Am Tabor;Alliiertenviertel - Volkertviertel (Am Tabor)
AT1;AT13;AT130;90200;9020103;90203;Augartenviertel;Augartenviertel
AT1;AT13;AT130;90200;9020104;90204;Taborstraße;Taborstraße
AT1;AT13;AT130;90200;9020105;90205;Praterstraße;Praterstraße
AT1;AT13;AT130;90200;9020106;90206;Oberer Prater;Oberer Prater
AT1;AT13;AT130;90200;9020107;90207;Ausstellungsstraße;Stuwerviertel (Ausstellungsstraße)
AT1;AT13;AT130;90200;9020108;90208;Unterer Prater;Unterer Prater
AT1;AT13;AT130;90200;9020109;90209;Praterlände;Praterlände
AT1;AT13;AT130;90200;9020110;90210;noname (9020110);Freudenauer Hafen
AT1;AT13;AT130;90300;9030101;90301;Weißgerber ;Weißgerber 
AT1;AT13;AT130;90300;9030102;90302;Landstraße;Landstraße
AT1;AT13;AT130;90300;9030103;90303;Belvedere - Diplomatenviertel;Belvedere - Diplomatenviertel
AT1;AT13;AT130;90300;9030104;90304;Fasangasse;Fasangasse
AT1;AT13;AT130;90300;9030105;90305;Rudolfstiftung - Rennwegkaserne;Rudolfstiftung - ehem. Rennwegkaserne
AT1;AT13;AT130;90300;9030106;90306;Erdberg;Erdberg
AT1;AT13;AT130;90300;9030107;90307;Erdberger Mais - St. Marx;Erdberger Mais - St. Marx
AT1;AT13;AT130;90300;9030108;90308;Arsenal;Arsenal
AT1;AT13;AT130;90300;9030109;90309;Ungargasse;Ungargasse
AT1;AT13;AT130;90300;9030110;90310;Altes Gaswerk;Erdberger Lände - Altes Gaswerk
AT1;AT13;AT130;90300;9030111;90311;Wildganshof;Eurogate - Wildganshof - Friedhof St. Marx
AT1;AT13;AT130;90400;9040101;90401;Technische Hochschule;Technische Universität
AT1;AT13;AT130;90400;9040102;90402;Argentinierstraße;Argentinierstraße
AT1;AT13;AT130;90400;9040103;90403;Wiedner Hauptstraße;Wiedner Hauptstraße
AT1;AT13;AT130;90400;9040104;90404;Schaumburgergrund;Schaumburgergrund
AT1;AT13;AT130;90500;9050101;90501;Margaretenplatz;Margaretenplatz
AT1;AT13;AT130;90500;9050102;90502;Matzleinsdorf;Matzleinsdorf
AT1;AT13;AT130;90500;9050103;90503;Siebenbrunnenplatz;Siebenbrunnenplatz
AT1;AT13;AT130;90500;9050104;90504;Am Hundsturm;Am Hundsturm
AT1;AT13;AT130;90600;9060101;90601;Laimgrube;Laimgrube
AT1;AT13;AT130;90600;9060102;90602;Mollardgasse;Mollardgasse
AT1;AT13;AT130;90600;9060103;90603;Stumpergasse;Stumpergasse
AT1;AT13;AT130;90700;9070101;90701;St. Ulrich;St. Ulrich
AT1;AT13;AT130;90700;9070102;90702;Stiftskaserne;Stiftskaserne
AT1;AT13;AT130;90700;9070103;90703;Apollogasse;Apollogasse
AT1;AT13;AT130;90700;9070104;90704;Schottenfeld;Schottenfeld
AT1;AT13;AT130;90700;9070105;90705;Neustiftgasse;Neustiftgasse
AT1;AT13;AT130;90800;9080101;90801;Laudongasse;Laudongasse
AT1;AT13;AT130;90800;9080102;90802;Josefstädter Straße;Josefstädter Straße
AT1;AT13;AT130;90800;9080103;90803;Bennoplatz;Bennoplatz
AT1;AT13;AT130;90900;9090101;90901;Lichtental - Spittelau;Lichtental - Spittelau
AT1;AT13;AT130;90900;9090102;90902;Roßau;Roßau
AT1;AT13;AT130;90900;9090103;90903;Allgemeines Krankenhaus;Allgemeines Krankenhaus
AT1;AT13;AT130;90900;9090104;90904;Nußdorferstr. - Volksoper;Nußdorferstr. - Volksoper - Sobieskiplatz
AT1;AT13;AT130;90900;9090105;90905;Liechtensteinstraße;Liechtensteinstraße
AT1;AT13;AT130;90900;9090106;90906;Universitätsviertel;Votivkirche - Altes AKH - Universitätsviertel
AT1;AT13;AT130;91000;9100101;91001;Südbahnhof;Hauptbahnhof - Sonnwendviertel
AT1;AT13;AT130;91000;9100102;91002;Gellertplatz;Gellertplatz
AT1;AT13;AT130;91000;9100103;91003;Hebbelplatz;Hebbelplatz
AT1;AT13;AT130;91000;9100104;91004;Quellenplatz;Quellenplatz
AT1;AT13;AT130;91000;9100105;91005;Arthaberplatz;Arthaberplatz
AT1;AT13;AT130;91000;9100106;91006;Erlachplatz;Erlachplatz
AT1;AT13;AT130;91000;9100107;91007;Belgradplatz;Belgradplatz
AT1;AT13;AT130;91000;9100108;91008;Triester Straße;Triester Straße
AT1;AT13;AT130;91000;9100109;91009;Franz Josef-Spital;Franz-Josef-Spital
AT1;AT13;AT130;91000;9100110;91010;Neerwindenplatz - Raxstraße;Neerwindenplatz - Raxstraße
AT1;AT13;AT130;91000;9100111;91011;Heuberggstätten;Heuberggstätten
AT1;AT13;AT130;91000;9100112;91012;noname (9100112);Wienerberg West
AT1;AT13;AT130;91000;9100113;91013;Siedlung Wienerfeld;Siedlung Wienerfeld
AT1;AT13;AT130;91000;9100114;91014;Per Albin Hansson-NW;Per-Albin-Hansson-Siedlung Nord
AT1;AT13;AT130;91000;9100115;91015;Laaer Berg;Laaer Berg
AT1;AT13;AT130;91000;9100116;91016;Goldberg;Therme Wien - Kurpark - Goldberg
AT1;AT13;AT130;91000;9100117;91017;Unterlaa;Unterlaa
AT1;AT13;AT130;91000;9100118;91018;Oberlaa;Oberlaa
AT1;AT13;AT130;91000;9100119;91019;Rothneusiedl;Rothneusiedl
AT1;AT13;AT130;91000;9100120;91020;Per Albin Hansson-Ost;Per-Albin-Hansson-Siedlung Ost
AT1;AT13;AT130;91000;9100121;91021;Wienerberger Ziegelfabrik;Wienerberg Ost - Otto-Probst-Straße
AT1;AT13;AT130;91000;9100122;91022;Humboldtplatz;Humboldtplatz
AT1;AT13;AT130;91000;9100123;91023;Eisenstadtplatz;Eisenstadtplatz
AT1;AT13;AT130;91100;9110101;91101;Gaswerk Simmering;Gasometer
AT1;AT13;AT130;91100;9110102;91102;Alt-Simmering;Alt-Simmering
AT1;AT13;AT130;91100;9110103;91103;Enkplatz;Enkplatz
AT1;AT13;AT130;91100;9110104;91104;Geiselberg;Geiselberg
AT1;AT13;AT130;91100;9110105;91105;Hasenleiten;Hasenleiten
AT1;AT13;AT130;91100;9110106;91106;Zentralfriedhof;Zentralfriedhof
AT1;AT13;AT130;91100;9110107;91107;Oberer Simmeringer Haide;Oberer Simmeringer Haide
AT1;AT13;AT130;91100;9110108;91108;E-Werk Simmering;E-Werk Simmering
AT1;AT13;AT130;91100;9110109;91109;Untere Simmeringer Haide;Untere Simmeringer Haide
AT1;AT13;AT130;91100;9110110;91110;Leberberg;Leberberg
AT1;AT13;AT130;91100;9110111;91111;Kaiser-Ebersdorf;Kaiserebersdorf
AT1;AT13;AT130;91100;9110112;91112;Albern;Albern
AT1;AT13;AT130;91100;9110113;91113;Simmeringer Bad;Simmeringer Bad
AT1;AT13;AT130;91200;9120101;91201;Gaudenzdorf;Gaudenzdorf
AT1;AT13;AT130;91200;9120102;91202;Fuchsenfeld;Fuchsenfeld
AT1;AT13;AT130;91200;9120103;91203;Meidlinger Friedhof;Meidlinger Friedhof
AT1;AT13;AT130;91200;9120104;91204;Wilhelmsdorf;Wilhelmsdorf
AT1;AT13;AT130;91200;9120105;91205;Meidlinger Hauptstraße;Meidlinger Hauptstraße
AT1;AT13;AT130;91200;9120106;91206;Tivoligasse;Tivoligasse
AT1;AT13;AT130;91200;9120107;91207;Gatterhölzl;Gatterhölzl
AT1;AT13;AT130;91200;9120108;91208;Oswaldgasse;Johann-Hoffmann-Platz - Euro Plaza 
