Gebaeudebestand in 250 Zaehlbezirken in Wien - Registerzaehlung 2021 | Building stock in 250 sub-districts in Vienna - Census 2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;GEB_TOTAL;OBJ_TYP_1;OBJ_TYP_2;OBJ_TYP_3;OBJ_TYP_4;OBJ_TYP_5;OBJ_WSA_1;OBJ_WSA_2;OBJ_ANZWHG_0;OBJ_ANZWHG_1;OBJ_ANZWHG_2;OBJ_ANZWHG_3;OBJ_ANZWHG_4;OBJ_ANZWHG_5;OBJ_ANZWHG_6;OBJ_EIGENT_1;OBJ_EIGENT_2;OBJ_EIGENT_3;OBJ_EIGENT_4;OBJ_FLNETTO_1;OBJ_FLNETTO_2;OBJ_FLNETTO_3;OBJ_FLNETTO_4;OBJ_FLNETTO_5;OBJ_ANZGESCHO_1;OBJ_ANZGESCHO_2;OBJ_ANZGESCHO_3;OBJ_ANZGESCHO_4;OBJ_ANZGESCHO_5;OBJ_ANZGESCHO_6;OBJ_ANZGESCHO_7;OBJ_BAUP_1;OBJ_BAUP_2;OBJ_BAUP_3;OBJ_BAUP_4;OBJ_BAUP_5;OBJ_BAUP_6;OBJ_BAUP_7;OBJ_BAUP_8;REF_DATE
AT1;AT13;AT130;90100;90101;335;4;3;167;4;157;264;71;57;25;16;59;87;63;28;140;75;1;119;10;10;20;58;237;16;8;13;54;89;154;1;259;23;15;14;8;3;5;8;20211031
AT1;AT13;AT130;90100;90102;137;3;1;54;0;79;94;43;38;7;3;19;37;24;9;71;21;1;44;8;2;4;8;115;13;9;5;9;19;81;1;94;12;7;3;1;3;7;10;20211031
AT1;AT13;AT130;90100;90103;246;0;3;74;0;169;151;95;86;17;16;26;55;40;6;104;27;0;115;13;5;6;13;209;17;14;7;29;60;119;0;175;3;30;2;4;12;8;12;20211031
AT1;AT13;AT130;90100;90104;216;2;3;65;1;145;116;100;93;13;15;22;43;27;3;68;81;0;67;18;5;7;10;176;19;12;14;21;60;89;1;182;4;5;5;1;10;3;6;20211031
AT1;AT13;AT130;90100;90105;191;3;4;80;0;104;133;58;50;10;10;24;51;37;9;71;37;4;79;11;3;6;14;157;7;11;5;19;55;92;2;138;2;19;6;3;7;3;13;20211031
AT1;AT13;AT130;90100;90106;227;2;2;109;1;113;178;49;43;15;10;38;65;40;16;107;47;2;71;3;7;15;47;155;6;10;8;20;56;125;2;161;14;23;9;2;11;3;4;20211031
AT1;AT13;AT130;90100;90107;231;1;1;93;4;132;180;51;38;15;10;46;59;49;14;108;36;1;86;6;0;11;30;184;11;2;3;21;56;135;3;159;6;34;16;3;5;2;6;20211031
AT1;AT13;AT130;90200;90201;394;7;1;283;9;94;304;90;92;10;2;3;3;110;174;73;121;111;89;9;6;6;64;309;22;21;10;5;31;280;25;39;23;43;33;20;16;28;192;20211031
AT1;AT13;AT130;90200;90202;386;9;1;330;2;44;349;37;28;15;2;8;46;177;110;279;54;7;46;11;4;13;101;257;16;8;11;97;116;134;4;273;18;35;29;6;10;7;8;20211031
AT1;AT13;AT130;90200;90203;590;9;1;464;6;110;486;104;92;12;3;19;109;254;101;372;98;31;89;54;5;34;171;326;64;14;20;124;135;232;1;351;35;83;35;11;20;22;33;20211031
