Wohnungen in den 250 Zaehlbezirken in Wien - Registerzaehlung 2021 | Housing units in 250 sub-districts in Vienna - Census 2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;WHG_TOTAL;WHG_WSA_0;WHG_WSA_1;WHG_NOC_0;WHG_NOC_1;WHG_NOC_2;WHG_NOC_3;WHG_NOC_4;WHG_RECHTSVERH_0;WHG_RECHTSVERH_1;WHG_RECHTSVERH_2;WHG_RECHTSVERH_3;WHG_RECHTSVERH_4;WHG_NOR_1;WHG_NOR_2;WHG_NOR_3;WHG_NOR_4;WHG_NTZFL_1;WHG_NTZFL_2;WHG_NTZFL_3;WHG_NTZFL_4;WHG_NTZFL_5;WHG_BEHEIZ_0;WHG_BEHEIZ_1;WHG_BAD_0;WHG_BAD_1;WHG_TOI_0;WHG_TOI_1;WHG_WSS_0;WHG_WSS_1;WHG_AUSST_1;WHG_AUSST_2;WHG_AUSST_3;WHG_AUSST_4;OBJ_TYP_1;OBJ_TYP_2;OBJ_TYP_3;OBJ_TYP_4;OBJ_TYP_5;OBJ_EIGENT_1;OBJ_EIGENT_2;OBJ_EIGENT_3;OBJ_EIGENT_4;OBJ_BAUP_1;OBJ_BAUP_2;OBJ_BAUP_3;OBJ_BAUP_4;OBJ_BAUP_5;OBJ_BAUP_6;OBJ_BAUP_7;OBJ_BAUP_8;OBJ_BAUP_9;OBJ_ANZWHG_1;OBJ_ANZWHG_2;OBJ_ANZWHG_3;OBJ_ANZWHG_4;OBJ_ANZWHG_5;OBJ_ANZWHG_6;REF_DATE
AT1;AT13;AT130;90100;90101;2686;592;2094;592;1138;561;369;26;592;31;110;1784;169;224;412;1682;368;321;432;833;654;446;94;2592;94;2592;1;2685;0;2686;2591;94;0;1;4;6;2068;14;594;1271;483;4;928;1863;253;266;204;20;35;26;0;19;25;32;235;680;930;784;20211031
AT1;AT13;AT130;90100;90102;945;198;747;198;354;213;164;16;198;10;39;644;54;37;97;582;229;83;100;200;235;327;31;914;31;914;0;945;0;945;914;31;0;0;3;2;683;0;257;559;33;4;349;660;150;90;25;0;6;4;1;9;7;6;77;299;327;229;20211031
AT1;AT13;AT130;90100;90103;1294;264;1030;264;491;296;228;15;264;14;88;839;89;66;109;840;279;86;96;305;365;442;34;1260;34;1260;0;1294;0;1294;1260;34;0;0;0;6;887;0;401;708;74;0;512;946;14;259;28;6;0;25;0;16;17;32;103;428;563;151;20211031
AT1;AT13;AT130;90100;90104;922;203;719;203;348;206;155;10;203;20;37;614;48;15;64;579;264;31;72;230;220;369;36;886;36;886;1;921;0;922;885;36;0;1;2;6;649;27;238;418;200;0;304;885;9;19;7;0;0;0;2;0;13;30;86;355;365;73;20211031
AT1;AT13;AT130;90100;90105;1302;230;1072;230;498;322;237;15;230;14;64;921;73;45;150;882;225;81;171;381;327;342;51;1251;51;1251;0;1302;0;1302;1251;51;0;0;3;8;1006;0;285;610;217;13;462;973;15;185;76;0;10;0;0;43;10;20;97;416;551;208;20211031
AT1;AT13;AT130;90100;90106;1808;441;1367;441;736;357;262;12;441;23;75;1177;92;136;299;1118;255;218;349;500;405;336;54;1754;54;1754;1;1807;0;1808;1753;54;0;1;2;4;1399;0;403;979;341;18;470;1036;166;376;78;14;42;7;0;89;15;20;150;519;559;545;20211031
AT1;AT13;AT130;90100;90107;1815;447;1368;447;723;383;246;16;447;18;137;1102;111;139;247;1136;293;216;247;534;423;395;46;1769;46;1769;0;1815;0;1815;1768;46;1;0;1;2;1237;21;554;985;337;11;482;1047;38;502;207;20;0;1;0;0;15;20;180;477;716;407;20211031
AT1;AT13;AT130;90200;90201;8637;678;7959;678;3587;1983;2257;132;678;14;910;6922;113;621;2438;5506;72;1009;2148;4052;1374;54;64;8573;64;8573;0;8637;0;8637;8573;64;0;0;7;2;8478;77;73;1648;2100;3479;1410;806;375;739;579;619;109;669;32;4709;10;4;11;25;1717;6870;20211031
AT1;AT13;AT130;90200;90202;6319;885;5434;885;2564;1508;1229;133;885;69;641;4343;381;590;1255;4292;182;1425;1664;2332;760;138;643;5676;643;5676;2;6317;0;6319;5674;643;0;2;9;2;6174;0;134;4632;784;224;679;4242;197;762;587;139;224;59;0;109;15;4;36;398;2824;3042;20211031
AT1;AT13;AT130;90200;90203;7702;1147;6555;1147;3281;1790;1383;101;1147;83;690;5469;313;510;1478;5312;402;1264;1849;2882;1499;208;576;7126;576;7126;0;7702;0;7702;7125;576;1;0;9;2;7439;59;193;4916;1045;745;996;4298;558;769;596;160;264;246;360;451;12;6;81;905;3866;2832;20211031
