district_code,census_district_code,total_flats,no_central_heating,central_heating,owner_private,owner_public,owner_nonprofit,owner_other
90100,90101,2686,94,2592,1271,483,4,928
90100,90102,945,31,914,559,33,4,349
90100,90103,1294,34,1260,708,74,0,512
90100,90104,922,36,886,418,200,0,304
90100,90105,1302,51,1251,610,217,13,462
90100,90106,1808,54,1754,979,341,18,470
90100,90107,1815,46,1769,985,337,11,482
90200,90201,8637,64,8573,1648,2100,3479,1410
90200,90202,6319,643,5676,4632,784,224,679
90200,90203,7702,576,7126,4916,1045,745,996
90200,90204,8150,595,7555,5494,1450,439,767
90200,90205,5288,331,4957,3623,903,259,503
90200,90206,5168,195,4973,2825,915,453,975
90200,90207,7503,706,6797,5210,1319,211,763
90200,90208,2401,46,2355,1028,516,280,577
90200,90209,7844,276,7568,2063,4423,911,447
90300,90301,6704,539,6165,4987,690,303,724
90300,90302,5140,279,4861,3540,632,228,740
90300,90303,3902,145,3757,1857,799,265,981
90300,90304,6616,558,6058,5316,725,124,451
90300,90305,5124,272,4852,3472,388,482,782
90300,90306,9257,512,8745,4585,2910,891,871
90300,90307,4620,142,4478,1064,1210,1081,1265
90300,90308,1141,9,1132,148,894,98,1
90300,90309,5210,261,4949,3528,628,539,515
90300,90310,5775,325,5450,2308,2056,594,817
90300,90311,2615,28,2587,665,1058,891,1
90400,90401,1498,47,1451,782,184,0,532
90400,90402,6347,314,6033,3994,802,360,1191
90400,90403,7617,421,7196,5298,682,547,1090
90400,90404,4046,207,3839,2778,975,0,293
90500,90501,7534,562,6972,5022,655,686,1171
90500,90502,11545,894,10651,5745,4111,821,868
90500,90503,10105,965,9140,6966,1612,422,1105
90500,90504,4146,282,3864,2940,213,202,791
90600,90601,4450,311,4139,3034,550,127,739
90600,90602,6006,373,5633,4186,852,567,401
90600,90603,8253,370,7883,5891,770,705,887
90700,90701,3380,194,3186,2156,322,78,824
90700,90702,1902,56,1846,1424,126,114,238
90700,90703,3022,108,2914,1714,309,354,645
90700,90704,6094,260,5834,4459,483,285,867
90700,90705,5198,354,4844,3781,285,312,820
90800,90801,2752,106,2646,1686,440,142,484
90800,90802,6697,296,6401,5091,425,204,977
90800,90803,4952,235,4717,3709,310,106,827
90900,90901,5957,359,5598,3282,1247,198,1230
90900,90902,6535,439,6096,4402,804,394,935
90900,90903,3168,159,3009,1772,578,355,463
90900,90904,5970,461,5509,4606,471,156,737
90900,90905,3126,175,2951,1960,240,20,906
90900,90906,1129,102,1027,661,166,0,302
91000,91001,5421,28,5393,967,494,2680,1280
91000,91002,10344,697,9647,5149,3542,1080,573
91000,91003,4082,313,3769,1700,1308,738,336
91000,91004,4875,390,4485,3662,555,172,486
91000,91005,9324,593,8731,4982,963,2530,849
91000,91006,6693,658,6035,4327,785,1096,485
91000,91007,6925,242,6683,3331,897,2293,404
91000,91008,5065,264,4801,2878,605,1307,275
91000,91009,2462,43,2419,194,1144,947,177
91000,91010,9548,247,9301,1458,4849,2869,372
91000,91011,4828,155,4673,874,2822,1043,89
91000,91012,1326,0,1326,73,0,729,524
91000,91013,3220,124,3096,458,1214,1545,3
91000,91014,2237,145,2092,72,1657,508,0
91000,91015,4384,71,4313,1408,568,1644,764
91000,91016,4219,174,4045,1302,1329,1516,72
91000,91017,470,15,455,300,0,123,47
91000,91018,3280,30,3250,1239,281,926,834
91000,91019,2138,88,2050,1321,366,193,258
91000,91020,4742,0,4742,0,4724,0,18
91000,91021,3848,3,3845,710,2257,785,96
91000,91022,4075,255,3820,3095,25,653,302
91000,91023,5845,276,5569,1668,2139,1214,824
91100,91101,1528,3,1525,397,192,677,262
91100,91102,9531,359,9172,2799,3265,2613,854
91100,91103,9713,480,9233,4251,2877,1813,772
91100,91104,2986,125,2861,737,751,965,533
91100,91105,6532,82,6450,877,2873,2186,596
91100,91106,170,18,152,77,80,13,0
91100,91107,3642,93,3549,1176,1975,367,124
91100,91108,572,8,564,183,21,360,8
91100,91109,1040,14,1026,493,35,484,28
91100,91110,12172,53,12119,1766,4996,4848,562
91100,91111,2525,114,2411,727,1025,695,78
91100,91112,199,19,180,146,9,44,0
91100,91113,2735,49,2686,945,50,1558,182
91200,91201,2850,98,2752,1623,402,346,479
91200,91202,9620,576,9044,4317,3547,1358,398
91200,91203,2694,75,2619,5,2588,0,101
91200,91204,5540,289,5251,3729,636,685,490
91200,91205,5124,267,4857,2863,732,895,634
91200,91206,6005,374,5631,4545,181,572,707
91200,91207,3811,86,3725,906,2014,838,53
91200,91208,3002,165,2837,1619,356,528,499
91200,91209,3387,21,3366,458,2908,9,12
91200,91210,5900,130,5770,1894,979,2451,576
91200,91211,6244,148,6096,2883,1096,1682,583
91300,91301,327,9,318,103,216,8,0
91300,91302,3776,83,3693,3153,238,144,241
91300,91303,5790,129,5661,3519,559,771,941
91300,91304,6318,136,6182,4522,424,908,464
91300,91305,2951,55,2896,2117,409,332,93
91300,91306,1692,31,1661,1175,24,351,142
91300,91307,1859,45,1814,792,665,281,121
91300,91308,4270,68,4202,2288,887,625,470
91300,91309,2609,88,2521,385,1731,300,193
91300,91310,265,5,260,141,42,0,82
91300,91311,2354,67,2287,2249,3,45,57
91400,91401,5286,227,5059,3100,362,893,931
91400,91402,5210,500,4710,3478,1029,418,285
91400,91403,5486,270,5216,3566,1093,497,330
91400,91404,11912,606,11306,4896,2911,2462,1643
91400,91405,3067,86,2981,1290,895,619,263
91400,91406,6986,356,6630,3524,1117,1817,528
91400,91407,1542,75,1467,1,1541,0,0
91400,91408,2425,70,2355,1141,671,437,176
91400,91409,174,0,174,8,3,148,15
91400,91410,5195,174,5021,3023,824,925,423
91400,91411,4272,288,3984,4087,36,105,44
91400,91412,3722,215,3507,2749,218,430,325
91500,91501,6192,354,5838,2938,1830,749,675
91500,91502,5941,523,5418,4530,498,331,582
91500,91503,6784,523,6261,4864,711,389,820
91500,91504,4757,377,4380,2662,826,325,944
91500,91505,6008,365,5643,3900,1406,381,321
91500,91506,8510,872,7638,6098,1038,637,737
91500,91507,4953,246,4707,1779,2316,660,198
91600,91601,8370,650,7720,6785,472,644,469
91600,91602,4593,588,4005,3604,242,223,524
91600,91603,7277,281,6996,1668,3856,1359,394
91600,91604,4771,283,4488,2890,619,925,337
91600,91605,9466,705,8761,6064,767,1656,979
91600,91606,5712,249,5463,2133,2914,284,381
91600,91607,6785,393,6392,2973,1297,1674,841
91600,91608,2617,45,2572,1188,715,523,191
91600,91609,3456,58,3398,2026,45,1249,136
91600,91610,6000,818,5182,4615,712,180,493
91700,91701,6820,666,6154,5159,253,804,604
