Hofname,clean_address,Wohnungen,Lokale
Per-Albin-Hansson-Siedlung-Ost,"1100 Wien, Jura-Soyfer-Gasse",4289,25
Rudolf-Hitzinger-Hof,"1210 Wien, Leopoldauer Straße",284,7
Großfeldsiedlung,"1210 Wien, St.-Michael-Gasse",5525,41
Georg-Emmerling-Hof,"1020 Wien, Obere Donaustraße",215,33
Eduard-Leisching-Hof,"1050 Wien, Johannagasse",283,16
Emmerich-Sailer-Hof,"1050 Wien, Kliebergasse",50,9
Per-Albin-Hansson-Siedlung-Nord,"1100 Wien, Saligergasse",533,29
Salvador-Allende-Hof,"1110 Wien, Wilhelm-Kreß-Platz",1154,28
Herbert-Böhm-Hof,"1110 Wien, Studenygasse",258,4
Karl-Swoboda-Hof,"1110 Wien, Florian-Hedorfer-Straße",589,5
Karl-Maisel-Hof,"1110 Wien, Koblicekgasse",1069,7
Karl-Kysela-Hof,"1160 Wien, Thaliastraße",191,14
Josef-Wiedermann-Hof,"1190 Wien, Billrothstraße",64,17
Franz-Koblizka-Hof,"1200 Wien, Adalbert-Stifter-Straße",466,6
Johann-Schauhuber-Hof,"1230 Wien, Rudolf-Zeller-Gasse",157,6
Erich-Deschermaier-Hof,"1130 Wien, Am Rosenberg",133,6
Josef-Matejcek-Hof,"1140 Wien, Mauerbachstraße",95,8
Willi-Liwanec-Hof,"1150 Wien, Minciostraße",264,11
Ernest-Bevin-Hof,"1170 Wien, Andergasse",202,19
Franz-Schreiner-Hof,"1180 Wien, Buchleitengasse",20,2
Emil-Reich-Hof,"1190 Wien, Döblinger Hauptstraße",111,10
Helmut-Qualtinger-Hof,"1190 Wien, Daringergasse",368,29
Arthur-Schnitzler-Hof,"1190 Wien, Döblinger Hauptstraße",47,3
Hans-Binder-Hof,"1070 Wien, Lindengasse",44,23
Schrödingerhof,"1100 Wien, Gußriegelstraße",238,3
Otto-Mraz-Hof,"1110 Wien, Hugogasse",79,2
Eduard-Pantucek-Hof,"1110 Wien, Simmeringer Hauptstraße",33,9
Johann-Holzer-Hof,"1110 Wien, Simmeringer Hauptstraße",70,5
Franz-Glaserer-Hof,"1140 Wien, Hackinger Straße",272,9
Paul-Richter-Hof,"1150 Wien, Grimmgasse",89,6
Alois-Küblböck-Hof,"1150 Wien, Grimmgasse",28,0
Karl-Honay-Hof,"1160 Wien, Gablenzgasse",233,7
Wilhelmine-Moik-Hof,"1160 Wien, Wattgasse",52,13
Schöffelhof,"1180 Wien, Wielemansgasse",162,12
Edwin-Schuster-Hof,"1190 Wien, Greinergasse",41,6
Johann-Kaps-Hof,"1200 Wien, Jägerstraße",728,33
Dr.-Ellenbogen-Hof,"1200 Wien, Brigittenauer Lände",353,3
Anton-Schmid-Hof,"1200 Wien, Pappenheimgasse",208,10
Marianne und Oscar-Pollak-Hof,"1210 Wien, Dunantgasse",450,6
Conrad-Lötsch-Hof,"1210 Wien, Floridsdorfer Markt",186,24
Oskar Helmer Hof,"1210 Wien, Roda-Roda-Gasse",784,16
Marschallhof,"1220 Wien, Am Kaisermühlendamm",245,5
Bundesländerhof,"1220 Wien, Bernoullistrasse",1094,5
Rudolf-Köppl-Hof,"1220 Wien, Eipeldauer Straße",1316,3
Professor-Rudolf-Boeck-Hof,"1230 Wien, Dr.-Barilits-Gasse",64,7
Harry-S.-Truman-Hof,"1230 Wien, Rudolf-Zeller-Gasse",485,23
Hans Weber-Hof,"1230 Wien, Ketzergasse",53,2
Johann-Radfux-Hof,"1230 Wien, Breitenfurter Straße",475,9
Wohnsiedlung Am Wienerfeld Ost,"1100 Wien, Bullgasse",426,16
Per-Albin-Hansson-Siedlung West,"1100 Wien, Malmögasse",1099,39
Wohnsiedlung Am Laaer Berg,"1100 Wien, Economogasse",215,0
Wohnsiedlung Am Wienerfeld West,"1100 Wien, Adolf-Kirchl-Gasse",145,2
Wohnsiedlung Weitmosergasse,"1100 Wien, Sickingengasse",33,1
Wohnsiedlung Weißenböckstraße,"1110 Wien, Weißenböckstraße",56,3
Wohnsiedlung Am Tivoli,"1120 Wien, Hohenbergstraße",370,11
Wohnsiedlung Lockerwiese,"1130 Wien, Camillianergasse",763,28
Wohnsiedlung Spiegelgrund,"1160 Wien, Dustmannweg",289,9
Siedlung Rodaun,"1230 Wien, Breitenfurter Straße",311,16
Irene-Harand-Hof,"1010 Wien, Judengasse",22,7
Ginzkeyhof,"1010 Wien, Johannesgasse",54,5
Wachauer Hof,"1020 Wien, Jungstraße",186,10
Lassalle-Hof,"1020 Wien, Lassallestraße",268,33
Hubert-Hladej-Hof,"1020 Wien, Wehlistraße",292,17
Heizmann-Hof,"1020 Wien, Vorgartenstraße",212,10
Hermann-Fischer-Hof,"1020 Wien, Ybbsstraße",69,6
Elderschhof,"1020 Wien, Elderschplatz",123,4
Franz-Mair-Hof,"1020 Wien, Schüttelstraße",269,9
Robert-Erber-Hof,"1020 Wien, Schüttelstraße",246,8
Theodor Herzl-Hof,"1020 Wien, Leopoldsgasse",29,3
Chopinhof,"1020 Wien, Am Tabor",93,7
Erdberger-Hof,"1030 Wien, Drorygasse",61,10
Hanuschhof,"1030 Wien, Ludwig-Koeßler-Platz",501,32
Rabenhof,"1030 Wien, Baumgasse",1110,51
Marianne-Hainisch-Hof,"1030 Wien, Petrusgasse",25,6
Felleishof,"1030 Wien, Hagenmüllergasse",100,13
Franz-Silberer-Hof,"1030 Wien, Kardinal-Nagl-Platz",127,16
Anton-Kohl-Hof,"1030 Wien, Rüdengasse",177,2
Franz-Schuster-Hof,"1030 Wien, Hagenmüllergasse",48,5
Wildganshof,"1030 Wien, Grasbergergasse",730,33
Ungerhof,"1030 Wien, Obere Bahngasse",164,9
Josef-Illedits-Hof,"1030 Wien, Kärchergasse",160,4
Richard-Strauss-Hof,"1030 Wien, Am Modenapark",188,10
Franz-Seitler-Hof,"1030 Wien, Sebastianplatz",137,11
Franz-Adelpoller-Hof,"1030 Wien, Gestettengasse",256,21
Südtiroler Hof,"1040 Wien, Schelleingasse",179,20
Bertha-von-Suttner-Hof,"1040 Wien, Waltergasse",360,37
Metzleinstalerhof,"1050 Wien, Margaretengürtel",252,33
Reumannhof,"1050 Wien, Margaretengürtel",450,50
Julius-Popp-Hof,"1050 Wien, Margaretengürtel",370,9
Heinehof,"1050 Wien, Stöbergasse",155,8
Matteottihof,"1050 Wien, Siebenbrunnenfeldgasse",424,20
Julius-Ofner-Hof,"1050 Wien, Margaretengürtel",140,3
Herweghhof,"1050 Wien, Margaretengürtel",206,15
Franz-Domes-Hof,"1050 Wien, Margaretengürtel",176,10
Anton-Katschinka-Hof,"1050 Wien, Siebenbrunnenfeldgasse",45,1
Furtmüllerhof,"1050 Wien, Ziegelofengasse",48,6
Eiselsberg Hof,"1050 Wien, Bacherplatz",167,8
Theodor-Körner-Hof,"1050 Wien, Margaretengürtel",1224,39
Leuthnerhof,"1060 Wien, Mollardgasse",155,7
Einsteinhof,"1060 Wien, Mollardgasse",183,15
Ludo-Hartmann-Hof,"1080 Wien, Albertgasse",74,11
Dr.-Kronawetter-Hof,"1080 Wien, Pfeilgasse",62,3
Faberhof,"1080 Wien, Pfeilgasse",15,2
Therese-Schlesinger-Hof,"1080 Wien, Schlösselgasse",83,5
Maria-Franc-Hof,"1080 Wien, Lange Gasse",77,7
Sigmund-Freud-Hof,"1090 Wien, Gussenbauergasse",258,25
Gallhof,"1090 Wien, Heiligenstädter Straße",137,7
Thuryhof,"1090 Wien, Marktgasse",95,8
Wagner-Jauregg-Hof,"1090 Wien, Lustkandlgasse",114,10
Karl-Schönherr-Hof,"1090 Wien, Badgasse",119,10
Quarinhof,"1100 Wien, Quaringasse",122,25
Viktor-Adler-Hof,"1100 Wien, Triester Straße",110,5
Pernerstorfer-Hof,"1100 Wien, Troststraße",426,14
Jean-Jaures-Hof,"1100 Wien, Neilreichgasse",384,9
Pölzer-Hof,"1100 Wien, Dampfgasse",98,7
Zürcher-Hof,"1100 Wien, Laxenburger Straße",221,28
Hueber-Hof,"1100 Wien, Quellenstraße",464,5
Anton-Hölzl-Hof,"1100 Wien, Laxenburger Straße",329,6
Maria-und-Rudolf-Fischer-Hof,"1100 Wien, Laxenburger Straße",125,3
Wohnhausanlage Am Laaer Berg,"1100 Wien, Theodor-Sickel-Gasse",726,12
Emil Fucik-Hof,"1100 Wien, Gudrunstraße",666,13
Brunngraberhof,"1100 Wien, Arthaberplatz",158,17
George-Washington-Hof,"1100 Wien, Ahornhof",1008,62
Mithlingerhof Rasenstadt,"1100 Wien, Neilreichgasse",958,13
Dr.-Franz-Klein-Hof,"1110 Wien, Herbortgasse",223,21
Alfons-Petzold-Hof,"1110 Wien, Lorystraße",94,15
Josef-Scheu-Hof,"1110 Wien, Ehamgasse",184,1
Widholz-Hof,"1110 Wien, Geiselbergstraße",166,11
Karl-Höger-Hof,"1110 Wien, Lorystraße",219,28
Friedrich-Engels-Hof,"1110 Wien, Ehamgasse",174,9
Anton-Schrammel-Hof,"1110 Wien, Kopalgasse",220,10
Strindberghof,"1110 Wien, Strindberggasse",538,22
Hedorfer-Hof,"1110 Wien, Enkplatz",32,11
Wilhelm-Weber Hof,"1110 Wien, Rinnböckstraße",292,15
Kurt-Holubarz-Hof,"1110 Wien, Geiselbergstraße",47,2
Karl-Tlasek-Hof,"1110 Wien, Lorystraße",47,1
Josef-Haas-Hof,"1110 Wien, Zippererstraße",289,8
Alfred-Wunsch-Hof,"1110 Wien, Lorystraße",103,12
Gustav-Fuchs-Hof,"1110 Wien, Geiselbergstraße",219,4
Wilhelm-Svetelsky-Hof,"1110 Wien, Wilhelm-Svetelsky-Hof",112,14
Leopold-Schwarz-Hof,"1110 Wien, Kopalgasse",42,9
Max-Wopenka-Hof,"1110 Wien, Geiselbergstraße",371,12
Wohnhausanlage Hasenleiten,"1110 Wien, Hasenleitengasse",1214,89
Stefan-Achatz-Hof,"1110 Wien, Kaiser-Ebersdorfer Straße",92,13
Fuchsenfeldhof,"1120 Wien, Längenfeldgasse",452,24
Reismannhof,"1120 Wien, Am Fuchsenfeld",625,37
Bebel-Hof,"1120 Wien, Steinbauergasse",307,30
Liebknechthof,"1120 Wien, Böckhgasse",427,10
Simony-Hof,"1120 Wien, Koppreitergasse",160,11
Lorenshof,"1120 Wien, Längenfeldgasse",164,8
Fröhlich-Hof,"1120 Wien, Malfattigasse",160,7
Haydnhof,"1120 Wien, Gaudenzdorfer Gürtel",326,11
Leopoldine-Glöckel-Hof,"1120 Wien, Steinbauergasse",304,3
Max-Opravil-Hof,"1120 Wien, Wienerbergstraße",424,30
Johann Resch-Hof,"1120 Wien, Werthenburggasse",178,14
Wohnhausanlage Am Schöpfwerk,"1120 Wien, Am Schöpfwerk",866,46
Ernst-Reuter-Hof,"1120 Wien, Böckhgasse",200,9
August-Fürst-Hof,"1120 Wien, Meidlinger Hauptstraße",159,20
Wohnhausanlage Roter Berg,"1130 Wien, Horeischygasse",106,18
Eduard-Schlesinger-Hof,"1130 Wien, Wilhelm-Leibl-Gasse",19,1
Wohnhausanlage Kongreßsiedlung,"1130 Wien, Kalmanstraße",260,34
