ZBEZ,university_share,avg_income,unemprate,benefit_share,SSI,quintile,green_area_sum,blue_area_sum,geometry_x,census_area_m2,green_ratio,blue_ratio
0101,1.60495393907887,1.74139903973317,1.12592291873207,1.12300766661696,1.65399208545834,5,1176.7517402909343,16.97162488616197,"POLYGON ((3497.001853947909 341023.5556447887, 3494.0890027357145 341024.77604025975, 3505.828902761573 341038.8634402696, 3507.48660276553 341041.0146402726, 3510.4302788412056 341044.6753352588, 3497.001853947909 341023.5556447887))",377355.80253780127,0.003,0.0
0102,1.653812293864,2.56523343867763,1.2369995281743,1.13944040004503,2.00043350526477,5,77668.03866533704,58683.05136992553,"MULTIPOLYGON (((3696.979002812087 340797.926039692, 3696.6490028114536 340797.24603969697, 3695.0890028078597 340794.3660396915, 3642.7690026548166 340687.0560395727, 3642.199002653713 340685.89603956975, 3641.6290026519423 340684.73603956867, 3641.0590026498517 340683.5860395683, 3640.4790026479845 340682.43603956513, 3639.899002646028 340681.28603956476, 3639.309002644879 340680.1260395665, 3638.729002643219 340678.98603956215, 3638.1390026421254 340677.836039559, 3637.5390026407895 340676.69603956025, 3636.9390026381343 340675.54603956174, 3636.3390026369366 340674.4060395565, 3635.729002634801 340673.2760395538, 3635.1290026338497 340672.13603955694, 3634.509002631432 340670.9960395545, 3633.899002630729 340669.8660395546, 3633.279002628285 340668.7360395519, 3632.6490026266774 340667.6060395483, 3632.02900262485 340666.47603955027, 3631.3990026230454 340665.35603954736, 3630.759002621292 340664.2260395484, 3630.129002620268 340663.1060395455, 3629.4890026191483 340661.9860395435, 3628.839002616784 340660.86603954434, 3628.199002615398 340659.756039544, 3627.549002613291 340658.63603954576, 3626.8890026116956 340657.52603954077, 3626.2390026100943 340656.41603953857, 3625.579002608417 340655.30603953917, 3624.9090026063905 340654.20603954047, 3624.2390026053745 340653.1060395371, 3623.5690026031357 340651.996039534, 3622.8990026010583 340650.8960395362, 3622.2190025993373 340649.80603953544, 3621.539002598461 340648.7060395321, 3620.8590025951125 340647.6160395313, 3620.169002594758 340646.5260395305, 3619.479002592029 340645.4360395288, 3618.779002590342 340644.346039528, 3618.089002589265 340643.26603952516, 3617.3890025877963 340642.17603952624, 3616.6790025850914 340641.09603952616, 3615.969002583632 340640.01603952236, 3615.2590025824993 340638.94603952393, 3614.5490025802756 340637.866039522, 3613.829002579361 340636.79603952356, 3613.109002576786 340635.72603952046, 3612.3890025753867 340634.6560395174, 3611.659002573918 340633.5960395159, 3610.9290025717337 340632.53603951354, 3610.1990025704895 340631.47603951767, 3609.459002567919 340630.4160395153, 3608.7190025666023 340629.35603951383, 3607.969002563938 340628.3060395131, 3607.2290025619195 340627.2560395133, 3606.4790025602674 340626.20603951253, 3605.729002558798 340625.1560395099, 3604.9690025572017 340624.1060395092, 3604.209002555708 340623.0660395082, 3603.4490025548107 340622.02603950724, 3602.6790025513487 340620.98603950534, 3601.909002550109 340619.9560395051, 3601.1390025473484 340618.9260395048, 3600.369002546918 340617.8860395029, 3599.589002544634 340616.8660395006, 3598.80900254273 340615.8360395022, 3598.0190025409256 340614.81603950076, 3597.1190025389983 340613.6360395001, 3596.209002537032 340612.47603949904, 3595.279002534453 340611.28603949863, 3594.339002533059 340610.0960394982, 3505.8890023314657 340498.3560394086, 3505.4990023317246 340498.6860394124, 3489.859002294898 340478.9560393952, 3489.5290022950085 340479.2560393922, 3484.799002284379 340473.59603939205, 3479.6875647486845 340467.1099349531, 3508.9730023482784 340515.350439433, 3509.097202348719 340515.5569394333, 3509.1053023496756 340515.5488394331, 3684.7758028059634 340807.8364397222, 3697.6158637083067 340799.23699730093, 3696.979002812087 340797.926039692)), ((3723.939002891346 340853.9660397563, 3721.3190028828762 340848.54603975173, 3707.5490028434356 340820.08603971824, 3707.7090028436264 340819.99603971746, 3702.2290028280167 340808.76603970584, 3701.9390028265375 340808.13603970595, 3701.5394322667953 340807.31353659934, 3695.5311028199703 340810.1515397178, 3724.1062029006534 340865.39663977455, 3725.094753023145 340856.3579159236, 3723.939002891346 340853.9660397563)), ((3466.0969023283055 340558.496039547, 3464.0290023191114 340551.2772395341, 3379.1770022602727 340610.9335397184, 3416.239002351022 340665.464739766, 3497.0090025469453 340783.496039873, 3611.6401028259456 340951.52724002395, 3646.819102864642 340943.0585399773, 3734.2364029460555 340906.3211398283, 3691.373802821255 340818.21473973244, 3684.7758028059634 340807.8364397222, 3509.097202348719 340515.5569394333, 3466.0969023283055 340558.496039547), (3556.677502555243 340699.44963967986, 3561.7575025607584 340697.9679396711, 3575.7275025804365 340700.2962396592, 3581.0192025946185 340708.9746396672, 3581.6542026074435 340724.00303969067, 3584.8292026200106 340735.00963970646, 3588.4276026277385 340738.6080397079, 3591.602602635042 340742.4180397121, 3593.0842026388395 340745.38133971207, 3593.719202641962 340748.13303972036, 3593.507602643857 340751.5197397247, 3588.427602641854 340755.9647397334, 3583.5592026403538 340762.52643975057, 3584.4059026465366 340768.6647397615, 3585.8876026521266 340772.4747397639, 3589.485902660345 340777.7664397694, 3588.639202661702 340782.21143977623, 3582.077602650309 340777.343139776, 3576.7859026377696 340769.9347397685, 3574.0342026310364 340765.70143976435, 3574.8809026264494 340758.71643975377, 3574.8809026189224 340749.82633974124, 3571.4942026070335 340739.8780397279, 3562.3925025902186 340733.52803972363, 3554.1375025757106 340728.6596397264, 3550.539202565976 340721.67463971954, 3547.787502556762 340713.8429397084, 3547.7875025501476 340706.2229396971, 3551.385802550292 340700.5079396833, 3556.677502555243 340699.44963967986)))",379174.1776928953,0.205,0.155
0103,1.70659827142579,3.80503268908206,1.64102864371774,1.23251891262258,2.57058232888391,5,25070.979682471265,20255.52737389915,"MULTIPOLYGON (((2656.019001043949 340238.28603985254, 2647.0790010293654 340233.2460398562, 2638.2090010135275 340227.4860398555, 2629.739000997933 340221.17603985034, 2600.5001110116955 340197.50122975436, 2600.8191009437473 340198.7460398469, 2637.698901012049 340227.80853985343, 2648.888901032562 340234.5897398526, 2659.148901050021 340240.1835398525, 2662.3280992473515 340241.34168957145, 2656.019001043949 340238.28603985254)), ((2694.41900110527 340252.62603983935, 2690.105323156806 340251.4606510415, 2693.1191011031738 340252.5585398376, 2695.6271786216316 340252.87278031703, 2694.41900110527 340252.62603983935)))",465247.3930634938,0.054,0.044
0104,1.84597501085863,3.15599994470729,1.69771329969692,1.31328952271054,2.40745960881237,5,213339.04168405515,944.0049305784277,"POLYGON ((2506.1990011137905 340562.47604052164, 2402.249001009649 340597.62604068406, 2370.1470645651675 340633.37465677876, 2500.009001254129 340748.93354082573, 2531.5390013151964 340774.933540836, 2620.2590013397516 340664.5585405696, 2640.556101376975 340679.49604057055, 2645.4489013782827 340673.3710405575, 2644.620159740694 340663.4410421568, 2506.1990011137905 340562.47604052164))",835377.4581812469,0.255,0.001
0105,1.68130345477823,2.42495303638054,1.19250244409644,1.25213376659957,1.97132150631255,5,17608.835552660163,0.0,"POLYGON ((3148.3163815725657 341741.7674963038, 3147.4396028683614 341743.6580417538, 3159.581227001834 341749.7654369445, 3148.3163815725657 341741.7674963038))",333116.2628975688,0.053,0.0
0106,1.74654272998126,2.38113616530838,1.11691114459184,1.13750224919908,1.94406004710482,5,12.836292463452677,50.73493276325428,"MULTIPOLYGON (((2442.3172788964516 341467.31647939736, 2443.889001755714 341466.58604202606, 2443.5365891439837 341465.93876805675, 2442.3172788964516 341467.31647939736)), ((2439.055737994317 341457.3859925728, 2439.309001741579 341457.206042015, 2438.779001739935 341456.4060420189, 2438.6290017407105 341456.5160420146, 2438.593243658094 341456.5039678568, 2439.055737994317 341457.3859925728)), ((2416.7690016985525 341438.83604200836, 2424.46900171189 341442.5360420048, 2434.389001728771 341448.4860420069, 2437.502304273443 341454.4234331873, 2437.5590017378963 341454.22604201455, 2438.729001737944 341453.6560420105, 2439.4390017389555 341453.6460420098, 2438.039001736699 341452.0660420079, 2435.6890017310634 341449.38724200707, 2435.609001730632 341449.29604200646, 2435.319001730181 341448.9560420094, 2434.989001729764 341448.66604200564, 2434.3790017290708 341448.31604200415, 2424.9990017122054 341442.6760420054, 2423.349001709585 341441.726042008, 2416.979001698582 341438.55604200903, 2416.92120790512 341438.49022837187, 2416.7690016985525 341438.83604200836)))",236076.66068359622,0.0,0.0
0107,1.38279357844358,2.70868880277107,1.28993313035836,1.25012518864608,1.98350662360755,5,8257.380437906912,192.04571036088498,"POLYGON ((3248.819002825315 341528.1560413074, 3250.999002828302 341526.5625413051, 3252.7590028286986 341525.27604130097, 3252.4688028283476 341524.93214130215, 3255.87840283082 341522.451241293, 3254.688902827079 341520.7376412917, 3250.700202817563 341513.8653412871, 3249.8018028144998 341511.96054128185, 3249.6099028138597 341511.55344127864, 3248.089002812429 341512.25014128536, 3246.179002811137 341513.1251412872, 3245.301702810221 341513.5269412901, 3244.259002808455 341514.0046412926, 3242.9290028076925 341514.61394129414, 3241.5709028070523 341515.2360412963, 3235.239002801582 341518.136641304, 3234.389002800037 341518.5260413084, 3234.799002801623 341519.40604130924, 3234.121502800348 341519.7160413116, 3234.0390028006077 341519.7538413126, 3230.999002797832 341521.14484131895, 3228.569002795299 341522.25674131885, 3225.3798027923444 341523.71604132745, 3224.309002792037 341524.2060413286, 3224.0749027912366 341523.7160413284, 3223.879002790692 341523.30604132544, 3222.988102790319 341523.7160413284, 3220.771802787279 341524.7360413335, 3220.221202787019 341524.9894413324, 3216.534602783481 341526.68604134023, 3212.840702780807 341528.3860413488, 3209.929002778109 341529.7260413533, 3209.88800277797 341530.5160413515, 3209.649002781593 341535.1260413602, 3212.803602788655 341538.8760413602, 3213.729002790926 341539.97604136355, 3214.07110279141 341539.68374136183, 3215.0164027913684 341538.8760413602, 3222.069002795168 341532.8501413446, 3223.3445027963407 341531.76034133695, 3224.8008027971396 341530.5160413366, 3225.8190027974965 341529.64604133554, 3226.552202799725 341530.5160413366, 3230.9990028100806 341535.79264133796, 3231.3390028101744 341536.19604134, 3230.9990028095926 341536.4875413412, 3228.2132028081414 341538.876041349, 3227.076502808002 341539.85064134933, 3222.069002804712 341544.14394136146, 3220.970202803989 341545.0860413639, 3219.6206028037213 341546.24314136803, 3219.2790028029185 341546.5360413715, 3222.0690028092363 341549.7754413709, 3222.25900280964 341549.99604137056, 3223.070802810383 341549.30454137083, 3228.022902813284 341545.08604135644, 3229.0772028131805 341544.1879413547, 3230.9990028156626 341542.5508413492, 3234.0390028173206 341539.9612413421, 3234.4090028173637 341539.646041343, 3235.3499028176097 341538.8760413397, 3240.51900282006 341534.6460413262, 3242.9290028220385 341532.7616413217, 3244.2590028234017 341531.72164132353, 3245.8008028246113 341530.516041317, 3248.464502826023 341528.43324130774, 3248.819002825315 341528.1560413074), (3213.0490027848673 341533.53604135383, 3212.6090027838422 341533.3860413544, 3212.2090027838544 341533.146041356, 3211.869002783406 341532.82604135387, 3211.609002782311 341532.4360413542, 3211.4290027822153 341532.00604135264, 3211.3590027806495 341531.5460413527, 3211.3790027806695 341531.07604135014, 3211.5090027810525 341530.6260413518, 3211.568002781126 341530.5160413524, 3211.729002780053 341530.21604135167, 3212.0290027806077 341529.8560413476, 3212.3990027805476 341529.57604134735, 3212.8290027815106 341529.3760413509, 3213.2790027811247 341529.27604134474, 3213.7490027828007 341529.2760413466, 3214.209002783592 341529.3760413481, 3214.629002784046 341529.57604134455, 3214.9990027847093 341529.8560413467, 3215.2990027852484 341530.2160413498, 3215.4600027861775 341530.5160413468, 3215.5190027855697 341530.62604134716, 3215.649002786257 341531.0760413464, 3215.669002787094 341531.54604134616, 3215.599002786927 341532.0060413508, 3215.4190027871186 341532.4360413486, 3215.1590027877373 341532.826041352, 3214.8190027860837 341533.1460413495, 3214.419002786887 341533.38604135625, 3213.979002786006 341533.53604135104, 3213.5190027854737 341533.5860413527, 3213.0490027848673 341533.53604135383))",240899.8003480963,0.034,0.001
0201,0.702976450719514,-0.180877189031355,0.256342008570078,0.455460372462006,0.324818793963578,4,304639.24439445994,364300.0259516963,"POLYGON ((4586.689005002685 342130.76604091655, 4563.619004930391 342075.10604084935, 4561.089004921101 342068.31604084466, 4558.556022499826 342065.7553856404, 4560.919304922388 342070.3087408459, 4586.379105002885 342131.62114091683, 4586.801058403967 342131.9428646563, 4586.689005002685 342130.76604091655))",1806116.304978461,0.169,0.202
0202,0.361530850229844,-0.656246227566122,-0.59778042845589,-0.400072639365897,-0.29361010897327,3,7811.447576480499,0.0,"POLYGON ((4081.5033045177443 342325.16224173456, 4101.664604571253 342360.08724176977, 4174.161404617486 342302.9751416072, 4169.768504606408 342296.4283416029, 4081.5033045177443 342325.16224173456))",378112.2212752373,0.021,0.0
0203,1.27873768846478,0.0343169046183337,0.24383803322314,0.517964853191822,0.626683910417011,4,417431.306432559,96043.49222672117,"POLYGON ((3169.24621155626 341754.6270501469, 3172.779502911416 341756.4043417508, 3172.835082727387 341756.2602282142, 3169.24621155626 341754.6270501469))",1135055.50477157,0.368,0.085
